CLUE small area,seats,venues,lon,lat
Melbourne (CBD),93643,1256,144.96341254043887,-37.81354394453378
Southbank,20045,151,144.96179568713657,-37.82369879550661
Docklands,16621,183,144.94545903555743,-37.81782795043919
Carlton,16072,226,144.96608974948052,-37.80102253272727
Melbourne (Remainder),8684,41,144.97879753516884,-37.83881590051948
East Melbourne,6751,39,144.9822743215909,-37.813105984848484
Kensington,5815,36,144.92762309207407,-37.79228312722222
North Melbourne,5736,103,144.9502577922988,-37.802024491585364
Parkville,3405,40,144.9552272375345,-37.79210676810345
West Melbourne (Residential),2790,53,144.9509084832125,-37.807866618
Port Melbourne,977,18,144.91653974934374,-37.8254276646875
South Yarra,764,9,144.981555721,-37.83466708875
