state,quarter,overnight_trips_000
New South Wales,Mar 2025,9999.544
New South Wales,Jun 2025,9483.469
New South Wales,Sep 2025,9156.015
New South Wales,Dec 2025,10569.738
Victoria,Mar 2025,8650.636
Victoria,Jun 2025,7497.05
Victoria,Sep 2025,7191.996
Victoria,Dec 2025,8043.486
Queensland,Mar 2025,5949.884
Queensland,Jun 2025,6474.587
Queensland,Sep 2025,6738.266
Queensland,Dec 2025,6772.215
South Australia,Mar 2025,2099.94
South Australia,Jun 2025,1911.341
South Australia,Sep 2025,1750.964
South Australia,Dec 2025,2049.879
Western Australia,Mar 2025,2503.484
Western Australia,Jun 2025,2464.542
Western Australia,Sep 2025,2420.925
Western Australia,Dec 2025,2563.032
Tasmania,Mar 2025,869.821
Tasmania,Jun 2025,698.91
Tasmania,Sep 2025,643.022
Tasmania,Dec 2025,757.187
Northern Territory,Mar 2025,177.582
Northern Territory,Jun 2025,275.587
Northern Territory,Sep 2025,327.549
Northern Territory,Dec 2025,214.038
Australian Capital Territory,Mar 2025,546.343
Australian Capital Territory,Jun 2025,531.266
Australian Capital Territory,Sep 2025,588.204
Australian Capital Territory,Dec 2025,585.714
