month,category,index
Jan,Food,101
Jan,Leisure,115
Jan,Travel / transport,120
Feb,Food,99
Feb,Leisure,105
Feb,Travel / transport,85
Mar,Food,100
Mar,Leisure,98
Mar,Travel / transport,92
Apr,Food,102
Apr,Leisure,100
Apr,Travel / transport,75
May,Food,101
May,Leisure,96
May,Travel / transport,82
Jun,Food,99
Jun,Leisure,92
Jun,Travel / transport,90
Jul,Food,100
Jul,Leisure,90
Jul,Travel / transport,98
Aug,Food,101
Aug,Leisure,94
Aug,Travel / transport,105
Sep,Food,102
Sep,Leisure,102
Sep,Travel / transport,112
Oct,Food,103
Oct,Leisure,110
Oct,Travel / transport,118
Nov,Food,104
Nov,Leisure,118
Nov,Travel / transport,126
Dec,Food,108
Dec,Leisure,132
Dec,Travel / transport,140
