year,category,weekly_spend
1984,Food,71.22
1984,Leisure,43.13
1984,Travel / transport,59.0
1988–89,Food,95.83
1988–89,Leisure,59.37
1988–89,Travel / transport,76.13
1993–94,Food,111.0
1993–94,Leisure,79.34
1993–94,Travel / transport,93.58
1998–99,Food,127.01
1998–99,Leisure,88.54
1998–99,Travel / transport,117.83
2003–04,Food,152.87
2003–04,Leisure,111.85
2003–04,Travel / transport,139.25
2009–10,Food,204.2
2009–10,Leisure,153.94
2009–10,Travel / transport,192.87
2015–16,Food,236.97
2015–16,Leisure,171.85
2015–16,Travel / transport,206.69
